face_folder,audio_path,label,method,type,category,source_path,true_label,pred_label,prob_fake,threshold,is_correct,error_type
FakeAVCeleb_LipSync/test/0_512_id01223_00255,FakeAVCeleb_LipSync/test/0_512_id01223_00255.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Caucasian (American)/women/id01223\00255.mp4,0,1,0.99609375,0.5999999999999998,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_760_id01215_00001,FakeAVCeleb_LipSync/test/0_760_id01215_00001.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Asian (East)/men/id01215\00001.mp4,0,1,0.99560546875,0.5999999999999998,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_601_id01163_00195,FakeAVCeleb_LipSync/test/0_601_id01163_00195.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Caucasian (American)/men/id01163\00195.mp4,0,1,0.9951171875,0.5999999999999998,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_713_id03945_00063,FakeAVCeleb_LipSync/test/0_713_id03945_00063.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Asian (South)/men/id03945\00063.mp4,0,1,0.9677734375,0.5999999999999998,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_127_id09116_00026,FakeAVCeleb_LipSync/test/0_127_id09116_00026.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Asian (East)/women/id09116\00026.mp4,0,1,0.8193359375,0.5999999999999998,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_384_id01126_00040,FakeAVCeleb_LipSync/test/0_384_id01126_00040.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Caucasian (European)/men/id01126\00040.mp4,0,1,0.7548828125,0.5999999999999998,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_343_id00519_00028,FakeAVCeleb_LipSync/test/0_343_id00519_00028.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Caucasian (European)/men/id00519\00028.mp4,0,1,0.751953125,0.5999999999999998,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_871_id00169_00021,FakeAVCeleb_LipSync/test/0_871_id00169_00021.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Caucasian (American)/men/id00169\00021.mp4,0,1,0.7275390625,0.5999999999999998,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_71_id00560_00041,FakeAVCeleb_LipSync/test/0_71_id00560_00041.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Asian (East)/men/id00560\00041.mp4,0,1,0.66796875,0.5999999999999998,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/1_189_id06462_00014_id01281_wavtolip,FakeAVCeleb_LipSync/test/1_189_id06462_00014_id01281_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Asian (East)/women/id06462\00014_id01281_wavtolip.mp4,1,0,0.59912109375,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_405_id04939_00174_id01532_wavtolip,FakeAVCeleb_LipSync/test/1_405_id04939_00174_id01532_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/African/women/id04939\00174_id01532_wavtolip.mp4,1,0,0.188232421875,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_142_id00589_00130_id03651_wavtolip,FakeAVCeleb_LipSync/test/1_142_id00589_00130_id03651_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (European)/women/id00589\00130_id03651_wavtolip.mp4,1,0,0.12841796875,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_651_id07799_00063_id08139_wavtolip,FakeAVCeleb_LipSync/test/1_651_id07799_00063_id08139_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (East)/women/id07799\00063_id08139_wavtolip.mp4,1,0,0.027008056640625,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_942_id02332_00055_id06776_wavtolip,FakeAVCeleb_LipSync/test/1_942_id02332_00055_id06776_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Asian (East)/men/id02332\00055_id06776_wavtolip.mp4,1,0,0.02215576171875,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_15_id00042_00028_id03620_wavtolip,FakeAVCeleb_LipSync/test/1_15_id00042_00028_id03620_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Caucasian (European)/women/id00042\00028_id03620_wavtolip.mp4,1,0,0.01763916015625,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_515_id07686_00254_id07008_wavtolip,FakeAVCeleb_LipSync/test/1_515_id07686_00254_id07008_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Asian (South)/women/id07686\00254_id07008_wavtolip.mp4,1,0,0.01142120361328125,0.5999999999999998,False,false_real_fake_predicted_real
